,humedad relativa media anual (%),humedad volumétrica media anual del suelo capa 1 (m³/m³),spi6_meses_bajo_m1,spi12_mean_anual,spi12_meses_bajo_m1,spi3_dic,spi12_dic,spi1_floracion,altitud_media_m,amplitud_temperatura_media_mensual,balance_precipitacion_evaporacion,log1p_área sembrada,log1p_radiación solar acumulada anual (mj/m²/año),humedad_suelo_diferencia_capa2_capa1,spi3_presion_sequia_anual,spi1_cambio_llenado_vs_floracion,spi3_cambio_llenado_vs_floracion,anio,departamento,municipio,rendimiento
0,85.47486,0.41148886,0,1.1159786287303888,0,-0.4845110543593162,0.4125322800803699,0.0155402405316083,753.1371854339387,1.2851560000000006,7429.482980966568,5.5134287461649825,8.580159898713902,0.00469843999999997,0.0,0.3828879790381514,0.1445295842236326,2011,CUNDINAMARCA,ANAPOIMA,0.473469387755102
1,81.22755,0.4079081,0,0.1135046660318556,0,-0.6082661178013892,-0.330545371621169,-0.0699462927650107,753.1371854339387,1.1054689999999994,6463.042485952377,4.68213122712422,8.629494538477687,0.004597999999999991,0.0,0.0475532869216206,0.1495714190180374,2012,CUNDINAMARCA,ANAPOIMA,0.5
2,84.22712,0.40955225,4,0.1449538280426571,3,-0.4758110194113673,1.5369347290573558,0.0603897829948359,753.1371854339387,3.430419999999998,8804.455669879913,5.5300638066695145,8.57321476901378,0.00337599999999999,5.459927478077104,0.5414790756507273,0.20467904898895628,2010,CUNDINAMARCA,ANAPOIMA,0.4671443193449334
3,82.645424,0.40804544,2,-0.0232863952346863,0,-0.5120013966618354,0.5633836709870854,0.3711553495021937,753.1371854339387,2.226074999999998,7503.561159133911,4.934761661517082,8.624288274921073,0.004487359999999996,2.71817404566844,-0.2090137042777326,0.04507672726607219,2013,CUNDINAMARCA,ANAPOIMA,0.4488707682794868
4,80.747505,0.39928818,4,-0.1039915613585251,2,-0.1718460947129901,0.7177138768135352,-0.7562878729601394,753.1371854339387,2.8996579999999987,7603.345497369766,3.9587157334201284,8.66153469003282,0.003982540000000034,5.529199637517643,1.1673186059328649,0.8078271986180419,2024,CUNDINAMARCA,ANAPOIMA,1.5098831985624437
5,83.73498,0.4101677,0,0.9947084969155188,0,-0.6601290685943516,0.990944665120313,0.0348852532474882,753.1371854339387,0.8168940000000013,8098.047162532806,5.504802940966104,8.60078719720548,0.003601069999999984,1.0142779153736017,-0.0766983304907889,-0.1975741294704899,2008,CUNDINAMARCA,ANAPOIMA,0.44332225347311
6,78.163925,0.3969091,1,-0.6807927221611506,5,-1.1975767171558185,-1.80974306977584,-0.682969608869286,753.1371854339387,1.726074999999998,4819.686876773834,4.3295484280286765,8.692638122490125,0.003885880000000008,2.395153434311637,0.007107415883690349,-0.07848013282018168,2017,CUNDINAMARCA,ANAPOIMA,0.8426691354507906
7,82.47872,0.40890756,0,0.4451771478825292,0,-1.0384733084457352,-0.5619648656644486,-0.1476358506864687,753.1371854339387,1.442139000000001,6191.358870267868,5.5029710285484015,8.646945886948803,0.00413893999999998,1.0384733084457352,-0.21958822837078137,-0.16437582920563792,2009,CUNDINAMARCA,ANAPOIMA,0.4580466753257636
8,82.14768,0.40371704,0,1.1826978476439671,0,-0.4772959744545291,1.1826978476439671,-0.2240379268339462,753.1371854339387,2.856445000000001,8295.397956371307,5.473907988002699,8.600656126576222,0.0038210599999999872,0.0,0.5615334064212398,0.3050796347610569,2007,CUNDINAMARCA,ANAPOIMA,0.4108865216616152
9,82.0046,0.4034729,3,0.9473467552655238,0,-0.9157089462854412,0.5563252756886303,-0.0249589740436366,753.1371854339387,1.8010260000000002,7556.438552856445,4.156223299267966,8.599704750811929,0.00248845999999997,3.8796400413666294,-0.1025438760833104,0.2878516646077303,2022,CUNDINAMARCA,ANAPOIMA,1.166098807495741
