Modelo,CV_R2_mean,CV_R2_std,CV_MAE_mean_log,CV_RMSE_mean_log
Random Forest Tuned log,0.22278099931029965,0.026058798594813994,0.11590975370160203,0.1594332882637665
XGBoost Tuned log,0.17062080783560452,0.016407013349744478,0.12107093116187886,0.16469752693746875
Gradient Boosting Tuned log,0.15433058411007688,0.02811946887840602,0.12294145457559769,0.1662385501027173
Regresion Lineal log,0.032083515737681555,0.005583759309820729,0.13574795909590137,0.1779496568566575
