Modelo,RMSE_train,MAE_train,R2_train,RMSE_test,MAE_test,R2_test
Random Forest,0.29930875959224473,0.21199300257837408,0.3825532143343163,0.44679825311555565,0.2450560129265419,0.05839970252970461
Gradient Boosting,0.29652634077043444,0.22660283837462916,0.39397961019991523,0.45508508384759944,0.25038583989324276,0.02314780612650058
Regresión Lineal,0.3753208068748663,0.26012799545818543,0.02911908854695977,0.4568865782425406,0.26642147541377365,0.015398587512966522
XGBoost,0.2817462508694539,0.2125243030374812,0.4528870792991294,0.46218782861485685,0.24739218802267657,-0.007582609333790735
