Departamento,Municipio,Año,Área Cosechada,Área Sembrada,Producción,Rendimiento,Precipitación acumulada anual (mm/año),Temperatura media anual (°C),Máximo de la temperatura media mensual (°C),Mínimo de la temperatura media mensual (°C),Humedad relativa media anual (%),Radiación solar acumulada anual (MJ/m²/año),Humedad volumétrica media anual del suelo capa 1 (m³/m³),Humedad volumétrica media anual del suelo capa 2 (m³/m³),Evaporación potencial acumulada anual (mm/año),altitud_media_m
NORTE DE SANTANDER,ABREGO,2008,455.94,492.04,188.059,0.4124643593455279,3098.024154241268,16.923096,17.247149,16.242472,89.33591,6290.310823384615,0.42557058,0.42566836,2938.767201093527,1839.5933511218689
NORTE DE SANTANDER,ABREGO,2017,257.85,300.23,215.501,0.8357611014155516,2560.1462131738663,17.848213,18.334944,17.121866,85.86533,6776.6878085384615,0.4108921,0.41591135,3389.1295337677,1839.5933511218689
NORTE DE SANTANDER,ABREGO,2020,280.0,321.46,157.5,0.5625,2146.6214954119464,18.260477,19.573208,16.894083,80.70876,6950.418176769231,0.37248525,0.37490094,3978.017438118274,1839.5933511218689
NORTE DE SANTANDER,ABREGO,2018,257.5,321.39,220.116,0.8548194174757282,2287.075349986553,17.821585,18.602804,17.05255,83.39004,6841.485231000001,0.3913947,0.3976648,3688.354968070984,1839.5933511218689
NORTE DE SANTANDER,ABREGO,2024,397.39,509.16,309.88,0.7797881174664687,2630.6024177939844,18.381224,20.050632,16.859509,82.852455,6835.338644769231,0.385653,0.3963625,3709.746300770686,1839.5933511218689
NORTE DE SANTANDER,ABREGO,2019,237.09,316.46,314.12,1.3248977181660972,2025.1328784135671,18.413738,19.172535,17.245646,81.09994,6926.740172,0.37444198,0.3747758,3908.3123219930208,1839.5933511218689
NORTE DE SANTANDER,ABREGO,2021,299.93,358.42,272.94,0.9100123362117828,2398.9419932308106,17.66511,18.99542,16.813047,83.63217,6668.707150846154,0.3889296,0.39657965,3556.9650630217334,1839.5933511218689
NORTE DE SANTANDER,ABREGO,2022,312.61,399.07,246.26,0.7877547103419595,2700.720191146319,17.200102,17.709908,16.312954,85.81726,6488.361630461539,0.40564445,0.41130748,3234.497277699984,1839.5933511218689
NORTE DE SANTANDER,ABREGO,2015,407.38,445.61,358.628,0.8803279493347734,1933.3065014114743,18.321222,19.146881,17.527815,80.9679,6875.550655384615,0.38705993,0.38862923,4009.4373809007498,1839.5933511218689
NORTE DE SANTANDER,ABREGO,2016,306.67,342.18,279.203,0.9104346691883782,2409.250509546353,18.502647,20.238264,17.037863,82.424416,6652.893372769231,0.39421228,0.39426216,3692.024135332841,1839.5933511218689
NORTE DE SANTANDER,ABREGO,2013,571.44,665.66,299.448,0.5240235195296093,2601.556942694462,17.650423,18.337893,16.6346,85.86554,6534.861570923077,0.40810218,0.4109089,3406.1742339501016,1839.5933511218689
NORTE DE SANTANDER,ABREGO,2014,490.66,540.18,278.018,0.5666204703868258,2132.237334994169,18.012403,19.168404,17.03146,82.548096,6734.517544230769,0.3898597,0.39305642,3761.8259579034952,1839.5933511218689
ANTIOQUIA,ABRIAQUI,2011,114.5,147.7,96.18,0.8400000000000001,4102.292894124985,13.236623,13.822418,12.705475,91.69485,5500.84998,0.44043222,0.44339052,2113.667101979256,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2013,111.08,136.99,62.5542,0.5631454807346057,3716.6394000053406,13.741099,14.481354,13.046783,90.96783,5694.683291,0.43764177,0.44150987,2242.781410932541,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2012,136.5,153.5,117.39,0.86,3320.434007883072,13.435313,13.869049,13.0711975,91.22009,5799.314793,0.43941116,0.44242606,2270.946943759918,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2007,135.0,135.0,81.0,0.6,3966.786492586136,13.480235,14.228424,12.723297,91.460754,5605.875808,0.4385096,0.4420503,2193.943437337876,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2010,129.8,145.8,87.0,0.670261941448382,4161.8920109272,13.8084,15.084137,12.546051,91.59836,5525.463235,0.4375782,0.44063506,2172.5074857473373,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2008,131.8,137.3,89.6,0.6798179059180576,3794.87206530571,13.042918,13.386871,12.737701,91.69767,5665.9103335,0.4387525,0.4438146,2159.653416156769,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2020,96.0,113.0,118.0,1.2291666666666667,3573.414294242859,13.863048,14.778717,13.223785,89.93218,6112.686087,0.43493018,0.4346002,2543.720909833908,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2017,99.92,118.17,182.202,1.8234787830264207,3600.3357117176056,13.8992,14.494049,13.544342,89.72071,6089.475949,0.43522263,0.43595633,2468.187994003296,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2023,102.33,115.97,178.09,1.740349848529268,3506.612292766571,14.072764,14.844391,12.786285,90.85136,6074.597234000001,0.43584505,0.4377912,2434.1575920581818,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2019,93.0,113.0,122.0,1.3118279569892473,3218.53683423996,14.22523,14.759918,13.413239,89.07906,6189.503881,0.43647957,0.43518257,2598.5689754486084,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2009,128.3,132.8,86.0,0.6703039750584567,3655.019633293152,13.668935,14.035553,13.110016,91.471985,5726.609106,0.4404386,0.44392014,2233.4860756397247,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2018,103.7,118.9,193.407,1.865062680810029,3332.330399990082,13.7516985,14.0589905,13.357086,89.78748,6163.839862000001,0.43672815,0.43889427,2512.230396270752,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2021,102.4,117.44,111.62,1.0900390625,3579.7253477573395,13.4531145,13.834625,12.987701,91.39533,5766.00503,0.43979773,0.44313622,2249.8021047115326,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2024,94.2,109.22,202.88,2.153715498938429,3270.356181263924,14.472545,15.213043,13.484283,90.45245,6014.021527999999,0.43158022,0.43063417,2537.1910495758057,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2022,108.57,120.21,140.44,1.2935433360965276,3788.208648920059,13.225535,13.873932,12.906403,92.07901,5594.799248,0.43862852,0.4427255,2141.22008562088,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2015,99.97,120.43,110.357,1.1039011703511052,3165.896939754486,14.216136,14.723053,13.886871,89.91489,5984.077684,0.43533325,0.43629012,2482.3925132751465,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2016,100.209,123.14,114.404,1.1416539432585897,3609.319114923477,14.290395,15.319733,13.475739,90.475525,5913.608667,0.4367186,0.43901,2386.8166246414185,2371.2167717546067
ANTIOQUIA,ABRIAQUI,2014,110.55,124.71,67.3165,0.6089235639981909,3504.1713020801544,13.778066,14.359039,13.287994,90.85256,5868.844554,0.43862724,0.44028282,2328.473633289337,2371.2167717546067
META,ACACIAS,2012,25.0,70.0,18.75,0.75,1907.852408018377,19.774307,20.486183,18.885921,82.20578,6448.480088111111,0.4416888,0.44079998,5050.572444279988,1035.562000813007
META,ACACIAS,2011,25.0,30.0,31.25,1.25,2419.780040635003,19.804594,20.861046,19.15803,83.332756,6314.617872999999,0.44329917,0.4422377,4760.681719674005,1035.562000813007
META,ACACIAS,2010,5.0,25.0,6.5,1.3,1988.7135393265637,20.524645,23.324154,19.28737,81.14819,6718.107464666667,0.42431867,0.4217405,5535.548756069607,1035.562000813007
META,ACACIAS,2009,5.0,5.0,5.0,1.0,1467.784753514661,20.237375,20.921295,19.255795,80.575165,6693.487747333334,0.42637888,0.4253786,5486.521956867642,1035.562000813007
META,ACACIAS,2007,5.0,5.0,4.0,0.8,1370.8260996176136,20.205902,22.675446,18.880606,78.47761,6745.257433555556,0.41625312,0.41175178,5913.240749359131,1035.562000813007
META,ACACIAS,2022,58.38,69.99,50.02,0.8568002740664611,1836.3950871361624,19.852587,20.795292,18.73819,81.82349,6407.411375333333,0.43175706,0.42981339,5100.74740436342,1035.562000813007
META,ACACIAS,2008,5.0,5.0,5.0,1.0,1797.9376819034417,19.967333,21.04228,18.835222,81.16923,6589.279634888889,0.43556312,0.43420777,5358.349470880296,1035.562000813007
META,ACACIAS,2018,0.0,0.74,0.0,0.0,2206.1554949879646,19.738062,20.963531,18.901085,82.2298,6185.488793888889,0.44429198,0.4469904,4858.4880647129485,1035.562000813007
META,ACACIAS,2023,60.49,76.18,43.91,0.7259051082823607,1542.2598350644112,20.637796,21.454689,19.779747,78.9699,6567.811682222223,0.41253945,0.41102645,5580.743068695068,1035.562000813007
META,ACACIAS,2021,54.08,61.92,57.87,1.0700813609467454,1822.977291913496,20.039803,21.472267,18.757912,80.24952,6369.195716777778,0.4299856,0.42916307,5298.187141683367,1035.562000813007
META,ACACIAS,2024,70.1,87.15,63.33,0.9034236804564908,1337.5346318052875,21.083094,22.417904,19.670889,78.69794,6829.415228444444,0.40624347,0.40923336,5884.687745094299,1035.562000813007
META,ACACIAS,2019,59.0,63.0,70.0,1.1864406779661016,1834.8923057648872,20.265966,21.631853,19.263498,80.383766,6295.526772222223,0.43506905,0.4332637,5175.997678438823,1035.562000813007
META,ACACIAS,2020,63.0,63.0,74.97,1.19,1752.416061169571,20.373383,21.527523,19.498362,80.08843,6704.363559555556,0.43067887,0.4302497,5614.060600333743,1035.562000813007
HUILA,ACEVEDO,2012,7842.64,13858.3,8626.9,1.099999489967664,3467.51164406538,16.371103,17.2294,15.406647,92.56373,6045.5630685,0.40904108,0.40968832,2963.168746709824,1684.5538306331953
HUILA,ACEVEDO,2011,7604.9,12696.8,8517.49,1.1200002629883363,3559.356925666332,16.5914,17.209625,15.654449,92.37482,6105.722939,0.40837193,0.40903822,2980.3018897771835,1684.5538306331953
HUILA,ACEVEDO,2010,8706.29,11403.8,10447.5,1.1999944867446408,3067.4884038567543,17.114716,18.393707,15.982086,90.6352,6280.324353,0.4003404,0.39939913,3418.125166296959,1684.5538306331953
HUILA,ACEVEDO,2013,12535.8,15868.2,12289.1,0.980320362481852,3429.586426794529,16.521494,17.495026,15.250153,93.17591,6008.020469,0.41093063,0.4114758,2885.930439949036,1684.5538306331953
HUILA,ACEVEDO,2023,11531.9,14184.6,13208.9,1.1454226970403836,4095.198657393456,16.857718,17.617828,15.948151,91.140526,5959.037331,0.40496984,0.4058005,3015.361157655716,1684.5538306331953
HUILA,ACEVEDO,2024,11031.8,14319.1,15702.5,1.4233851230080314,3618.814019098878,17.281708,18.147858,15.741364,90.13163,6181.6161255,0.39918074,0.3997971,3330.40422809124,1684.5538306331953
HUILA,ACEVEDO,2009,8286.03,9554.37,9943.24,1.2000004827402264,3259.4010334014893,16.709055,17.536041,15.769684,92.78067,6164.384383,0.41037115,0.4109653,2971.9989788532257,1684.5538306331953
HUILA,ACEVEDO,2018,11841.9,14348.4,13472.3,1.137680608686106,3811.727328419685,16.582102,17.480377,15.514801,92.29968,6017.2370255000005,0.40872893,0.40961838,2976.373719453812,1684.5538306331953
HUILA,ACEVEDO,2020,13465.8,15465.8,20198.7,1.5000000000000002,3569.811667382717,16.939138,18.153229,15.913239,90.41665,6342.0144785,0.40154138,0.40253448,3372.642681121826,1684.5538306331953
HUILA,ACEVEDO,2007,8378.98,8837.25,12149.5,1.4499974937283535,2964.107189655304,16.662851,18.587555,15.416901,90.44865,6334.4899725,0.4001236,0.39933586,3340.2723318338394,1684.5538306331953
HUILA,ACEVEDO,2008,8548.1,9335.41,12822.2,1.5000058492530504,3505.883759856224,16.479034,17.039948,15.273346,92.00745,6218.372333,0.4076055,0.4077848,3109.951893687248,1684.5538306331953
HUILA,ACEVEDO,2022,11188.6,13828.7,14762.1,1.319387590940779,3809.2445915937424,16.424387,17.028961,15.59903,91.8212,6146.8777305,0.4065965,0.40839577,3045.620467185974,1684.5538306331953
HUILA,ACEVEDO,2017,11913.2,14376.7,13251.3,1.1123207870261558,3327.4835740327835,16.84081,17.336334,15.53653,91.854836,6248.315220500001,0.40361628,0.40422758,3206.1145181655884,1684.5538306331953
HUILA,ACEVEDO,2019,10700.4,13985.8,15301.5,1.4299932712795784,3670.656859576702,16.813162,17.373444,15.847809,92.207664,6073.970091,0.40603638,0.4066019,3071.515139460564,1684.5538306331953
HUILA,ACEVEDO,2021,10882.3,13672.3,15561.8,1.430010200049622,4483.574915349484,16.486399,17.442535,15.296539,92.683716,5984.8524515,0.41075006,0.41324806,2840.937759876251,1684.5538306331953
HUILA,ACEVEDO,2014,12921.5,15552.1,13697.0,1.0600162519831289,3558.789268970489,16.528107,17.166412,15.341705,92.79053,5907.9869960000005,0.40951443,0.4099388,2843.1910622119904,1684.5538306331953
HUILA,ACEVEDO,2015,12363.7,15064.0,14263.9,1.1536918559978,3505.4331221580505,16.693106,17.34488,15.751862,91.81971,5962.9102055,0.40563425,0.40570006,3028.0033855438232,1684.5538306331953
HUILA,ACEVEDO,2016,11774.5,14633.9,14048.6,1.193137712854049,3626.76538002491,17.015045,18.988922,15.588043,92.069786,5906.42334875,0.40527025,0.40498415,2984.977803349495,1684.5538306331953
HUILA,AGRADO,2010,792.37,976.85,934.997,1.1800005048146698,2676.939464092254,22.195282,24.213287,20.957184,80.889275,6476.001991,0.45642662,0.46001306,1727.826132297516,963.7448956943672
HUILA,AGRADO,2013,952.74,1224.45,933.992,0.9803220185989882,3023.670266866684,21.685272,23.512604,20.405426,83.64372,6149.660257,0.46244112,0.46981683,1546.2325472831726,963.7448956943672
HUILA,AGRADO,2012,672.05,1114.4,672.05,1.0,3095.7340829372406,21.472666,22.242096,20.66153,83.12774,6222.375173,0.4631742,0.46883646,1583.856390833855,963.7448956943672
HUILA,AGRADO,2011,716.6,1037.0,802.592,1.12,2967.0724070072174,21.523245,22.773102,20.478668,83.49668,6212.729357,0.46193948,0.46720314,1599.0949212312698,963.7448956943672
HUILA,AGRADO,2023,1042.12,1327.43,1192.25,1.1440621041722645,2752.633641242981,21.718597,23.093903,20.66397,82.91593,6095.780135,0.45467123,0.4582653,1583.4939260482788,963.7448956943672
HUILA,AGRADO,2024,1068.76,1408.83,1508.03,1.4110090197986451,2575.1657324433327,22.173635,23.81192,20.351227,82.26719,6340.242448,0.44919142,0.45127425,1678.8093925714493,963.7448956943672
HUILA,AGRADO,2017,1108.7,1316.5,1214.55,1.0954721746189229,3104.0521273612976,22.079865,23.270172,20.59903,81.690384,6454.665245,0.4586029,0.46749625,1663.7503504753113,963.7448956943672
HUILA,AGRADO,2009,749.65,879.99,899.58,1.2000000000000002,3113.81711602211,21.68212,22.53653,20.681793,84.3279,6343.972494000001,0.46560797,0.47286543,1586.651483654976,963.7448956943672
