Modelo,RMSE_train,MAE_train,R2_train,RMSE_test,MAE_test,R2_test
Random Forest Tuned log,0.2017565572562765,0.0995234015773442,0.7194463023731696,0.43542634503461186,0.22870122395640585,0.10572094700359702
XGBoost Tuned log,0.26453227707738886,0.18661056316169755,0.5176991575582095,0.44186220304049634,0.23962566493628634,0.07908963466997943
Gradient Boosting Tuned log,0.26744585208632904,0.1941185057888623,0.5070164666928516,0.44490027016135814,0.24066858966669366,0.06638247974840772
Regresion Lineal log,0.37672527696892427,0.26180238327463273,0.021839319021062176,0.458292572916199,0.26832383241451774,0.009329359587466612
