departamento,municipio,cod_mpio,anio,Precipitación acumulada anual (mm/año),Temperatura media anual (°C),Máximo de la temperatura media mensual (°C),Mínimo de la temperatura media mensual (°C),Humedad relativa media anual (%),Radiación solar acumulada anual (MJ/m²/año)
ANTIOQUIA,ANDES,034,2017,3699.203790783882,15.555776,15.975494,14.969879,86.42553,6172.31124
ANTIOQUIA,ANDES,034,2018,3791.6409111320972,15.46756,15.777008,14.979401,86.549416,6160.539917
ANTIOQUIA,ANDES,034,2019,3431.872166275978,15.950714,16.307037,15.338287,84.50889,6287.206673
ANTIOQUIA,ANDES,034,2020,3782.8774740695953,15.887421,16.784332,15.155182,84.57473,6324.527417
ANTIOQUIA,ANDES,034,2021,4198.919105231762,15.345408,15.642487,14.988678,88.09727,5853.50200625
ANTIOQUIA,ANDES,034,2022,3515.5112412571907,15.023488,15.618805,14.504547,89.42071,4392.535744
ANTIOQUIA,ANDES,034,2023,1834.6607792377472,15.78777,16.514069,14.498688,86.85975,1871.8140114999999
ANTIOQUIA,ANDES,034,2024,3656.4788023903966,16.261465,17.312164,15.131256,85.45539,5316.92974225
ANTIOQUIA,ANGELÓPOLIS,036,2007,3519.6865084171295,17.026804,18.120026,16.262115,84.44453,6632.510771
ANTIOQUIA,ANGELÓPOLIS,036,2008,3668.7230248451233,16.529043,16.746979,16.299957,86.788185,6394.150224
ANTIOQUIA,ANGELÓPOLIS,036,2009,3025.253697872162,17.253693,18.129791,16.460358,84.315926,6657.186946
ANTIOQUIA,ANGELÓPOLIS,036,2010,3575.0307725667953,17.417612,19.130768,16.014801,84.86761,6515.72786
ANTIOQUIA,ANGELÓPOLIS,036,2011,3716.8872652053833,16.710318,17.239166,16.1315,86.588936,6183.115371
ANTIOQUIA,ANGELÓPOLIS,036,2012,2859.9384269714355,17.036713,17.596832,16.590729,83.62571,6751.006163
ANTIOQUIA,ANGELÓPOLIS,036,2013,3278.2409710884094,17.337046,18.61026,16.529205,83.42049,6704.140418
ANTIOQUIA,ANGELÓPOLIS,036,2014,2715.8338735103607,17.568329,18.639557,16.882965,81.63529,6846.468049
ANTIOQUIA,ANGELÓPOLIS,036,2015,2160.7974536418915,18.036753,18.940338,17.258453,78.7981,6979.632864
ANTIOQUIA,ANGELÓPOLIS,036,2016,2851.2247490882874,18.115143,19.592438,17.170563,81.13479,6948.665018
ANTIOQUIA,ANGELÓPOLIS,036,2017,2614.7702367305756,17.57547,18.062897,17.102203,81.446465,6922.680138
ANTIOQUIA,ANGELÓPOLIS,036,2018,2664.35153901577,17.530222,18.199371,16.849518,80.307686,6996.222484
ANTIOQUIA,ANGELÓPOLIS,036,2019,2276.0593967437744,18.112906,18.652496,17.39151,78.172104,7105.250564
ANTIOQUIA,ANGELÓPOLIS,036,2020,2442.2345147132874,18.113657,19.446442,17.225006,78.29733,7107.68954
ANTIOQUIA,ANGELÓPOLIS,036,2021,2946.316251516342,17.365591,17.861725,16.807037,83.21276,6625.437644
ANTIOQUIA,ANGELÓPOLIS,036,2022,2726.116452693939,17.069956,17.551666,16.333649,85.17748,4965.906521
ANTIOQUIA,ANGELÓPOLIS,036,2023,1045.3602559566498,18.103973,19.223053,16.647125,81.055046,2165.8043215
ANTIOQUIA,ANGELÓPOLIS,036,2024,2483.843712925911,18.678293,20.222809,17.217194,79.16802,6121.816804
ANTIOQUIA,ANZÁ,044,2007,2141.5777654647827,19.843943,21.527252,18.591217,80.46331,6352.240398
ANTIOQUIA,ANZÁ,044,2008,2331.840742111206,19.043528,19.410797,18.576569,85.34601,6204.027903
ANTIOQUIA,ANZÁ,044,2009,1814.28589874506,20.102732,21.359283,19.057037,79.756874,6427.180844
ANTIOQUIA,ANZÁ,044,2010,2331.608308851719,20.177298,22.487213,18.131989,80.246376,6248.234041
ANTIOQUIA,ANZÁ,044,2011,2686.9730122089386,19.204294,20.32608,18.250153,84.54293,6030.587351
ANTIOQUIA,ANZÁ,044,2012,1834.5196928977966,19.818533,21.16861,18.89859,80.32032,6484.165025
ANTIOQUIA,ANZÁ,044,2013,1969.8801890015602,20.276825,21.520416,18.840729,77.87397,6431.028194
ANTIOQUIA,ANZÁ,044,2014,1694.0926886200905,20.597952,22.47647,19.306793,76.06825,6591.658752
ANTIOQUIA,ANZÁ,044,2015,1344.114874303341,21.185354,22.20987,19.614899,73.41566,6711.119374
ANTIOQUIA,ANZÁ,044,2016,1912.580915927887,21.05777,23.058258,19.442047,76.42728,6685.939652
ANTIOQUIA,ANZÁ,044,2017,1633.6264846920967,20.587515,21.805084,19.556305,75.43884,6734.1401129999995
ANTIOQUIA,ANZÁ,044,2018,1561.127808213234,20.66271,21.925201,19.72403,73.99645,6821.841700999999
ANTIOQUIA,ANZÁ,044,2019,1441.0935422182083,21.31717,22.326569,20.32022,71.62157,6918.617641
ANTIOQUIA,ANZÁ,044,2020,1362.7883031368256,21.170868,22.75113,19.607819,71.15715,6878.338708
ANTIOQUIA,ANZÁ,044,2021,1769.6039392352104,20.256216,21.193268,19.346588,77.13998,6424.663499
ANTIOQUIA,ANZÁ,044,2022,1794.1052337884903,19.542856,20.592682,18.644196,82.435585,4835.319025
ANTIOQUIA,ANZÁ,044,2023,676.3967756927013,20.712128,22.344147,19.069,76.94207,2131.3297555
ANTIOQUIA,ANZÁ,044,2024,1688.463396847248,21.351715,23.48648,19.09317,74.38438,5895.812164
ANTIOQUIA,ARGELIA,055,2007,2082.7402950525284,20.009714,20.875885,18.528717,76.84938,7010.86734
ANTIOQUIA,ARGELIA,055,2008,2959.0630872249603,19.427969,20.535797,18.746735,80.7063,6830.306396
ANTIOQUIA,ARGELIA,055,2009,1794.7075616121292,20.14627,21.739166,18.823639,77.30139,6934.27161
ANTIOQUIA,ARGELIA,055,2010,2694.731046497822,20.120737,21.907623,18.483551,80.205925,6763.4027
ANTIOQUIA,ARGELIA,055,2011,3919.177740573883,19.427765,20.624908,18.557281,81.97778,6499.781769
ANTIOQUIA,ARGELIA,055,2012,2322.6759449243546,20.317636,22.189117,18.975494,72.614395,6999.238497
ANTIOQUIA,ARGELIA,055,2013,2126.847442507744,20.313446,21.218414,18.899323,74.78592,6997.964834
ANTIOQUIA,ARGELIA,055,2014,1725.5498751327395,20.47409,22.438385,19.115387,73.28769,7054.243918
ANTIOQUIA,ARGELIA,055,2015,1080.3269711434841,21.271616,23.069,19.962555,66.59457,7177.25236
ANTIOQUIA,ARGELIA,055,2016,1814.0288637280464,21.40502,23.265533,19.372711,69.93448,7067.290508
ANTIOQUIA,ARGELIA,055,2017,1688.0623173713684,20.663523,22.158356,19.485016,72.57972,7188.69786
ANTIOQUIA,ARGELIA,055,2018,1616.722197189927,20.801544,22.725006,19.579987,69.138,7171.067996
ANTIOQUIA,ARGELIA,055,2019,1461.9117320589721,21.229767,22.992584,19.853424,67.62051,7229.55261
ANTIOQUIA,ARGELIA,055,2020,1383.5889987945557,21.076874,22.318756,19.426178,69.44199,7310.461612
ANTIOQUIA,ARGELIA,055,2021,1646.2020091414452,20.508493,21.746246,19.371979,73.37887,6923.651194
ANTIOQUIA,ARGELIA,055,2022,1637.2998667955399,19.950165,21.29654,18.942535,77.42632,5274.113297
ANTIOQUIA,ARGELIA,055,2023,963.8590547144413,20.90801,22.791412,18.93814,70.79249,2253.3623455
ANTIOQUIA,ARGELIA,055,2024,1499.6641235500574,21.283926,22.83316,19.199615,70.26194,6383.116234
ANTIOQUIA,ARMENIA,059,2007,2841.924003601074,19.53543,21.33487,18.4086,82.53358,6510.3584470000005
ANTIOQUIA,ARMENIA,059,2008,3014.5886149406433,18.846914,19.10318,18.492584,86.21002,6306.668328
ANTIOQUIA,ARMENIA,059,2009,2396.625065803528,19.798452,20.973541,18.884186,82.00288,6561.5396820000005
ANTIOQUIA,ARMENIA,059,2010,2916.8048889636993,19.884409,22.24405,17.991364,82.5486,6405.086378
ANTIOQUIA,ARMENIA,059,2011,3224.4887301921844,19.008982,19.881744,18.192047,85.73827,6115.237835
ANTIOQUIA,ARMENIA,059,2012,2380.408805847168,19.592377,20.62857,18.764801,81.87601,6640.290883
ANTIOQUIA,ARMENIA,059,2013,2619.8462051153183,19.9723,21.495026,18.74405,80.4705,6590.655872
ANTIOQUIA,ARMENIA,059,2014,2181.942999124527,20.309866,22.151276,19.109528,78.47434,6743.287287
ANTIOQUIA,ARMENIA,059,2015,1767.7135535478592,20.908173,21.942291,19.436188,75.59483,6866.289386
ANTIOQUIA,ARMENIA,059,2016,2411.751134634018,20.816153,22.736969,19.368805,78.34304,6844.477844
ANTIOQUIA,ARMENIA,059,2017,2163.501933813095,20.308706,21.139069,19.46939,78.18056,6851.005054
ANTIOQUIA,ARMENIA,059,2018,2169.2675671577454,20.335562,21.391022,19.57901,76.92342,6928.231228
ANTIOQUIA,ARMENIA,059,2019,1909.18017578125,21.00353,22.010162,20.020416,74.486336,7039.493292
ANTIOQUIA,ARMENIA,059,2020,1855.68434548378,21.087128,22.842926,19.69571,74.442055,7007.431166
ANTIOQUIA,ARMENIA,059,2021,2306.0298326015472,20.172232,20.974518,19.37735,79.90716,6534.703646
ANTIOQUIA,ARMENIA,059,2022,2200.4563789367676,19.583303,20.383698,18.62857,83.54929,4906.131553
ANTIOQUIA,ARMENIA,059,2023,851.9223607778549,20.743296,22.303131,19.197906,78.660515,2148.9001035
