Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2011,CUNDINAMARCA,ANOLAIMA,CAFE,1168,1300,710,0.6078767123287672,PERMANENTE
2010,CUNDINAMARCA,ANOLAIMA,CAFE,1189.32,1293.61,730.3,0.6140483637708943,PERMANENTE
2024,CUNDINAMARCA,ANOLAIMA,CAFE,533.58,605.78,587.78,1.1015780201656733,PERMANENTE
2009,CUNDINAMARCA,ANOLAIMA,CAFE,1188.49,1270.62,732.841,0.6166152008010164,PERMANENTE
2018,CUNDINAMARCA,ANOLAIMA,CAFE,806.32,866.72,1250.92,1.55139398749876,PERMANENTE
2007,CUNDINAMARCA,ANOLAIMA,CAFE,1137.17,1228.46,621.586,0.5466078071000817,PERMANENTE
2008,CUNDINAMARCA,ANOLAIMA,CAFE,1125.73,1240.26,665.022,0.5907473372833628,PERMANENTE
2017,CUNDINAMARCA,ANOLAIMA,CAFE,843.68,916.33,1279.7,1.5168073203110186,PERMANENTE
2022,CUNDINAMARCA,ANOLAIMA,CAFE,561.27,612.94,317.81,0.5662337199565272,PERMANENTE
2019,CUNDINAMARCA,ANOLAIMA,CAFE,635,722,750,1.1811023622047243,PERMANENTE
2020,CUNDINAMARCA,ANOLAIMA,CAFE,626,706,684,1.0926517571884984,PERMANENTE
2023,CUNDINAMARCA,ANOLAIMA,CAFE,550.82,604.15,492.29,0.8937402418212845,PERMANENTE
2021,CUNDINAMARCA,ANOLAIMA,CAFE,613.28,683.31,423.16,0.6899947821549701,PERMANENTE
2014,CUNDINAMARCA,ANOLAIMA,CAFE,977.16,1055.24,677.535,0.6933716075156576,PERMANENTE
2015,CUNDINAMARCA,ANOLAIMA,CAFE,964.72,1034.15,797.144,0.8262957127456672,PERMANENTE
2016,CUNDINAMARCA,ANOLAIMA,CAFE,884.068,966.71,755.485,0.8545553057004666,PERMANENTE
2013,ANTIOQUIA,ANORI,CAFE,251.2,313.34,172.884,0.6882324840764331,PERMANENTE
2012,ANTIOQUIA,ANORI,CAFE,300,350,330,1.1,PERMANENTE
2011,ANTIOQUIA,ANORI,CAFE,244,359,268.4,1.0999999999999999,PERMANENTE
2010,ANTIOQUIA,ANORI,CAFE,234,294,257.4,1.0999999999999999,PERMANENTE
2019,ANTIOQUIA,ANORI,CAFE,216,279,289,1.337962962962963,PERMANENTE
2017,ANTIOQUIA,ANORI,CAFE,235.36,281.41,237.997,1.0112041128484024,PERMANENTE
2008,ANTIOQUIA,ANORI,CAFE,234,234,262.1,1.12008547008547,PERMANENTE
2018,ANTIOQUIA,ANORI,CAFE,227.7,294.31,235.501,1.0342599912165131,PERMANENTE
2009,ANTIOQUIA,ANORI,CAFE,234,244,262.1,1.12008547008547,PERMANENTE
2022,ANTIOQUIA,ANORI,CAFE,232.21,290.75,193.08,0.8314887386417468,PERMANENTE
2020,ANTIOQUIA,ANORI,CAFE,243,278,299,1.2304526748971194,PERMANENTE
2021,ANTIOQUIA,ANORI,CAFE,239.38,285.13,260.92,1.089982454674576,PERMANENTE
2007,ANTIOQUIA,ANORI,CAFE,194,214,217.3,1.1201030927835052,PERMANENTE
2024,ANTIOQUIA,ANORI,CAFE,244.43,283.45,287.41,1.1758376631346399,PERMANENTE
2023,ANTIOQUIA,ANORI,CAFE,232.17,290.63,220.18,0.9483568075117371,PERMANENTE
2016,ANTIOQUIA,ANORI,CAFE,248.989,286.46,271.207,1.0892328576764434,PERMANENTE
2014,ANTIOQUIA,ANORI,CAFE,236.08,294.46,175.685,0.7441757031514741,PERMANENTE
2015,ANTIOQUIA,ANORI,CAFE,253.17,285.54,266.641,1.0532093059999212,PERMANENTE
2013,CALDAS,ANSERMA,CAFE,5098.28,6612.38,4970.3,0.9748974163835648,PERMANENTE
2011,CALDAS,ANSERMA,CAFE,5253.67,6781,5910.38,1.1250002379289143,PERMANENTE
2012,CALDAS,ANSERMA,CAFE,2605,3256,2605,1,PERMANENTE
2023,CALDAS,ANSERMA,CAFE,4080.67,5298.05,3673.26,0.9001610029725511,PERMANENTE
2008,CALDAS,ANSERMA,CAFE,4985,6966.8,5982,1.2,PERMANENTE
2010,CALDAS,ANSERMA,CAFE,6150,6837.5,7995,1.3,PERMANENTE
2017,CALDAS,ANSERMA,CAFE,4707.16,6344.5,5949.87,1.264004197860281,PERMANENTE
2009,CALDAS,ANSERMA,CAFE,4785,6713.94,6359,1.328944618599791,PERMANENTE
2022,CALDAS,ANSERMA,CAFE,4045.6,5264.39,4757.89,1.1760653549535298,PERMANENTE
2018,CALDAS,ANSERMA,CAFE,4804.04,6248.63,6210.78,1.2928243728195434,PERMANENTE
2007,CALDAS,ANSERMA,CAFE,5485,7125.06,7131,1.3000911577028258,PERMANENTE
2019,CALDAS,ANSERMA,CAFE,4099,5571,5427,1.3239814588924128,PERMANENTE
2020,CALDAS,ANSERMA,CAFE,3952,5473,4837,1.2239372469635628,PERMANENTE
2024,CALDAS,ANSERMA,CAFE,3937.98,5305.04,3899.3,0.9901777053210021,PERMANENTE
2016,CALDAS,ANSERMA,CAFE,5066.12,6510.13,6220.95,1.2279515684587021,PERMANENTE
2014,CALDAS,ANSERMA,CAFE,5275.81,6616.82,5561.48,1.0541471357004895,PERMANENTE
2015,CALDAS,ANSERMA,CAFE,5234.21,6593.81,6214.8,1.1873425024979891,PERMANENTE
2011,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,5434,5956.8,6086.1,1.1200036805299964,PERMANENTE
2010,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,5365.7,5878.8,3756,0.7000018636897329,PERMANENTE
2012,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,4633.34,5533.3,5096.67,1.0999991366918895,PERMANENTE
2019,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,2825,3639,3683,1.303716814159292,PERMANENTE
2018,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,3283.34,3975.26,2546.87,0.7756948716855396,PERMANENTE
2009,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,5253.7,5878.8,2626.85,0.5,PERMANENTE
2007,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,5992.43,6159.26,6601.66,1.1016666026970694,PERMANENTE
2008,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,5694,6099,5694,1,PERMANENTE
2017,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,3793.15,4598.77,2876.73,0.7584013287109658,PERMANENTE
2024,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,3071.24,3807.62,3497.24,1.138706190333546,PERMANENTE
2022,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,3098.5,3737.23,3338.92,1.0775923834113281,PERMANENTE
2014,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,4249.06,5104.68,4620.91,1.0875134735682714,PERMANENTE
2015,VALLE DEL CAUCA,ANSERMANUEVO,CAFE,4125.21,4887.75,4324.07,1.0482060307232843,PERMANENTE
