Precipitación acumulada anual (mm/año),Temperatura media anual (°C),Máximo de la temperatura media mensual (°C),Mínimo de la temperatura media mensual (°C),Humedad relativa media anual (%),Radiación solar acumulada anual (MJ/m²/año),altitud_media_m,SPI1_floracion,SPI1_llenado,Rendimiento_lag1,Departamento,Municipio,Año,Rendimiento
9637.491362571716,21.440603,23.470367,20.613922,82.14768,5434.224617,753.1371854339387,-0.2585099344044604,0.2977486570446077,,CUNDINAMARCA,ANAPOIMA,2007,0.4108865216616152
9397.211458206177,21.052603,21.534576,20.717682,83.73498,5434.937062,753.1371854339387,-0.0014809607759379,-0.0781376752961876,0.4108865216616152,CUNDINAMARCA,ANAPOIMA,2008,0.44332225347311
7596.002593994141,21.659576,22.56485,21.122711,82.47872,5691.733904000001,753.1371854339387,-0.1822507486223759,-0.4000870952966195,0.44332225347311,CUNDINAMARCA,ANAPOIMA,2009,0.4580466753257636
10091.935886383057,21.505259,23.381012,19.950592,84.22712,5287.102522,753.1371854339387,0.0235066241992437,0.5595094071186654,0.4580466753257636,CUNDINAMARCA,ANAPOIMA,2010,0.4671443193449334
8696.465523719788,21.023651,21.647125,20.361969,85.47486,5323.956911,753.1371854339387,-0.0206004315394249,0.3583370197875088,0.4671443193449334,CUNDINAMARCA,ANAPOIMA,2011,0.473469387755102
7848.365871429443,21.446869,21.943756,20.838287,81.22755,5593.24986,753.1371854339387,-0.1052534393379701,-0.0583152128956817,0.473469387755102,CUNDINAMARCA,ANAPOIMA,2012,0.5
8875.763343811035,21.630014,23.11319,20.887115,82.645424,5564.200406,753.1371854339387,0.3314474105803809,0.1243433735261608,0.5,CUNDINAMARCA,ANAPOIMA,2013,0.4488707682794868
8497.69214630127,21.805573,22.34732,21.158112,81.43891,5609.643552,753.1371854339387,-0.1436113639384196,0.0853221104416467,0.4488707682794868,CUNDINAMARCA,ANAPOIMA,2014,0.4853603264955429
8412.6404504776,22.044992,22.975983,21.528229,80.86964,5561.525292,753.1371854339387,-0.4689202557959777,0.0495632370306896,0.4853603264955429,CUNDINAMARCA,ANAPOIMA,2015,0.7983197389885808
8221.424986839294,22.29479,23.931305,21.238922,80.458496,5643.564402,753.1371854339387,-0.3084815751792584,0.3851220988853173,0.7983197389885808,CUNDINAMARCA,ANAPOIMA,2016,0.8256231100092035
6328.983066082001,22.204782,23.39444,21.668365,78.163925,5957.881785,753.1371854339387,-0.7125951882068562,-0.7059109025993451,0.8256231100092035,CUNDINAMARCA,ANAPOIMA,2017,0.8426691354507906
7009.266207695007,22.053131,23.386139,21.135895,78.25001,5758.616803,753.1371854339387,-1.1214346509720954,-0.3255108434934659,0.8426691354507906,CUNDINAMARCA,ANAPOIMA,2018,0.8618831960963709
6231.861327648163,22.369516,23.503815,21.521637,77.95937,5897.372273999999,753.1371854339387,-1.030602811493484,-0.2849015976141391,0.8618831960963709,CUNDINAMARCA,ANAPOIMA,2019,1.0461538461538462
7813.749141454697,22.697113,24.906647,21.710602,76.158516,5962.552382,753.1371854339387,-0.8563304425441374,0.0661097760141488,1.0461538461538462,CUNDINAMARCA,ANAPOIMA,2020,0.9558823529411764
